step,run_0,run_1
10000,False,False
20000,False,False
30000,False,False
40000,False,False
50000,False,False
60000,False,False
70000,False,False
80000,False,False
90000,False,False
100000,False,False
110000,False,False
120000,False,False
130000,False,False
140000,False,False
150000,False,False
160000,False,False
170000,False,False
180000,False,False
190000,False,False
200000,False,False
210000,False,False
220000,False,False
230000,False,False
240000,False,False
250000,False,False
260000,False,False
270000,False,False
280000,False,False
290000,False,False
300000,False,False
310000,False,False
320000,False,False
330000,False,False
340000,False,False
350000,False,False
360000,False,False
370000,False,False
380000,False,False
390000,False,False
400000,False,False
410000,False,False
420000,False,False
430000,False,False
440000,False,False
450000,False,False
460000,False,False
470000,False,False
480000,False,False
490000,False,False
