episode,run_0,run_1
0,True,True
1,True,True
2,True,True
3,True,True
4,True,True
5,True,True
6,True,True
7,True,True
8,True,True
9,True,True
10,True,True
11,True,True
12,True,True
13,True,True
14,True,True
15,True,True
16,True,True
17,True,True
18,True,True
19,True,True
20,True,True
21,True,True
22,True,True
23,True,True
24,True,True
25,True,True
26,True,True
27,True,True
28,True,True
29,True,True
30,True,True
31,True,True
32,True,True
33,True,True
34,True,True
35,True,True
36,True,True
37,True,True
38,True,True
39,True,True
40,True,True
41,True,True
42,True,True
43,True,True
44,True,True
45,True,True
46,True,True
47,True,True
48,True,True
49,True,True
50,True,True
51,True,True
52,True,True
53,True,True
54,True,True
55,True,True
56,True,True
57,True,True
58,True,True
59,True,True
60,True,True
61,True,True
62,True,True
63,True,True
64,True,True
65,True,True
66,True,True
67,True,True
68,True,True
69,True,True
70,True,True
71,True,True
72,True,True
73,True,True
74,True,True
75,True,True
76,True,True
77,True,True
78,True,True
79,True,True
80,True,True
81,True,True
82,True,True
83,True,True
84,True,True
85,True,True
86,True,True
87,True,True
88,True,True
89,True,True
90,True,True
91,True,True
92,True,True
93,True,True
94,False,True
95,True,True
96,True,True
97,True,True
98,True,True
99,True,True
100,True,True
101,True,True
102,True,True
103,True,True
104,True,True
105,True,True
106,True,True
107,True,True
108,True,True
109,True,True
110,True,True
111,True,True
112,True,True
113,True,True
114,True,True
115,True,True
116,True,True
117,True,True
118,True,True
119,True,True
120,True,True
121,True,True
122,True,True
123,True,True
124,True,True
125,False,True
126,True,True
127,True,True
128,True,True
129,True,True
130,True,True
131,False,True
132,False,True
133,True,True
134,True,True
135,False,True
136,False,True
137,True,True
138,True,True
139,True,True
140,True,True
141,True,True
142,True,True
143,True,True
144,True,True
145,False,True
146,True,True
147,True,True
148,True,True
149,False,True
150,True,True
151,True,True
152,True,True
153,True,True
154,False,True
155,False,True
156,True,True
157,True,True
158,True,True
159,True,True
160,True,True
161,True,True
162,True,False
163,True,True
164,False,True
165,True,True
166,True,True
167,False,True
168,True,True
169,True,True
170,True,True
171,True,False
172,True,True
173,False,True
174,False,True
175,True,True
176,True,True
177,True,True
178,True,True
179,True,False
180,True,True
181,False,True
182,False,True
183,True,True
184,True,True
185,False,False
186,True,True
187,True,False
188,True,True
189,True,True
190,True,False
191,True,True
192,False,True
193,True,True
194,False,False
195,True,False
196,True,True
197,True,True
198,True,True
199,True,True
200,False,True
201,True,True
202,False,True
203,False,True
204,True,True
205,True,False
206,False,True
207,False,True
208,True,True
209,False,False
