step,run_0,run_1,run_2,run_3,run_4
10000,False,False,False,False,False
20000,False,False,False,False,False
30000,False,False,False,False,False
40000,False,False,False,False,False
50000,False,False,False,False,False
60000,False,False,False,False,False
70000,False,False,False,False,False
80000,False,False,False,False,False
90000,False,False,False,False,False
100000,False,False,True,False,False
110000,False,False,False,False,True
120000,False,False,False,False,False
130000,False,False,False,False,False
140000,False,False,False,False,False
150000,False,False,False,False,False
160000,False,False,False,False,False
170000,False,False,False,False,False
180000,False,False,False,False,True
190000,False,False,False,False,False
200000,True,False,False,False,False
210000,False,False,False,False,False
220000,False,True,False,False,False
230000,False,False,False,True,True
240000,False,False,False,False,True
250000,False,False,True,False,False
260000,False,False,True,False,True
270000,False,False,False,False,False
280000,False,False,False,False,False
290000,False,False,False,True,False
300000,False,True,False,False,True
310000,False,False,False,False,True
320000,True,False,False,False,False
330000,False,True,False,False,False
340000,False,True,False,False,False
350000,False,False,True,False,True
360000,False,False,False,False,False
370000,False,False,False,False,False
380000,False,False,False,False,False
390000,False,True,False,False,True
400000,False,True,False,False,False
410000,False,False,False,False,False
420000,False,False,False,False,False
430000,False,True,False,False,True
440000,False,False,False,False,True
450000,False,True,False,False,False
460000,False,False,False,False,False
470000,False,False,False,False,True
480000,False,False,False,False,False
490000,False,False,False,False,False
