episode,run_0,run_1
0,False,False
1,False,False
2,False,False
3,False,False
4,False,False
5,False,False
6,False,False
7,False,False
8,False,False
9,False,False
10,False,False
11,False,False
12,False,False
13,False,False
14,False,False
15,False,False
16,False,False
17,False,False
18,False,False
19,False,False
20,False,False
21,False,False
22,False,False
23,False,False
24,False,False
25,False,False
26,False,False
27,False,False
28,False,False
29,False,False
30,False,False
31,False,False
32,False,False
33,False,False
34,False,False
35,False,False
36,False,False
37,False,False
38,False,False
39,False,False
40,False,False
41,False,False
42,False,False
43,False,False
44,False,False
45,False,False
46,False,False
47,False,False
48,False,False
49,False,False
50,False,False
51,False,False
52,False,False
53,False,False
54,False,False
55,False,False
56,False,False
57,False,False
58,False,False
59,False,False
60,False,False
61,False,False
62,False,False
63,False,False
64,False,False
65,False,False
66,False,False
67,False,False
68,False,False
69,False,False
70,False,False
71,False,False
72,False,False
73,False,False
74,False,False
75,False,False
76,False,False
77,False,False
78,False,False
79,False,False
80,False,False
81,False,False
82,False,False
83,False,False
84,False,False
85,False,False
86,False,False
87,False,False
88,False,False
89,False,False
90,False,False
91,False,False
92,False,False
93,False,False
94,False,False
95,False,False
96,False,False
97,False,False
98,False,False
99,False,False
100,False,False
101,False,False
102,False,False
103,False,False
104,False,False
105,False,False
106,False,False
107,False,False
108,False,False
109,False,False
110,False,False
111,False,False
112,False,False
113,False,False
114,False,False
115,False,False
116,False,False
117,False,False
118,False,False
119,False,False
120,False,False
121,False,False
122,False,False
123,False,False
124,False,False
125,False,False
126,False,False
127,False,False
128,False,False
129,False,False
130,False,False
131,False,False
132,False,False
133,False,False
134,False,False
135,False,False
136,False,False
137,False,False
138,False,False
139,False,False
140,False,False
141,False,False
142,False,False
143,False,True
144,False,False
145,False,False
146,False,False
147,False,False
148,False,False
149,False,False
150,False,False
151,False,False
152,False,False
153,False,False
154,False,False
155,False,False
156,False,False
157,False,False
158,False,False
159,False,False
160,False,False
161,False,False
162,False,False
163,False,False
164,False,False
165,False,False
166,False,False
167,False,False
168,False,False
169,False,False
170,False,False
171,False,False
172,False,False
173,False,False
174,False,False
175,False,False
176,False,False
177,False,True
178,False,False
179,False,False
180,False,False
181,False,False
182,False,False
183,False,False
184,False,False
185,False,False
186,False,False
187,False,False
188,False,False
189,False,False
190,False,False
191,False,False
192,True,True
193,False,False
194,False,False
195,False,False
196,False,True
197,False,False
198,False,False
199,False,False
200,False,False
201,False,False
202,False,False
203,False,False
204,False,False
205,False,False
206,False,False
207,False,False
208,False,False
209,False,False
210,False,False
211,False,False
212,False,False
213,False,False
214,False,False
215,True,False
216,False,False
217,False,False
218,False,False
219,False,False
220,False,False
221,True,False
222,False,False
223,False,False
224,False,False
225,True,False
226,False,False
227,True,False
228,False,False
229,True,False
230,False,False
231,True,False
232,False,False
233,True,False
234,False,False
235,False,False
236,False,False
237,False,False
238,True,False
239,False,False
240,False,False
241,False,False
242,False,False
243,False,False
244,False,False
245,False,False
246,True,False
247,False,False
248,False,False
249,False,False
250,False,False
251,False,False
252,False,False
253,True,False
254,False,False
255,False,False
256,False,False
257,True,False
258,True,False
259,False,False
260,False,False
261,False,False
262,False,False
263,True,False
264,False,False
265,False,False
266,False,False
267,True,False
268,True,False
269,False,False
270,False,False
271,False,False
272,False,False
273,True,False
274,False,False
275,False,False
276,False,False
277,True,False
278,False,False
279,False,False
280,False,False
281,True,False
282,True,False
283,False,False
284,False,False
285,False,False
286,False,False
287,False,False
288,False,False
289,True,False
290,False,False
291,False,False
292,False,False
293,False,False
294,False,False
295,False,False
296,False,False
297,True,False
298,False,False
299,False,False
300,False,False
301,False,False
302,False,False
303,False,False
304,True,False
305,False,False
306,False,False
307,False,False
308,False,False
309,False,False
310,False,False
311,False,False
312,False,False
313,False,False
314,False,False
315,False,False
316,False,False
317,False,False
318,False,False
319,False,False
320,False,False
321,False,False
322,False,False
323,False,False
324,False,False
325,False,False
326,False,False
327,False,False
328,True,False
329,True,False
330,False,False
331,False,False
332,False,False
333,True,False
334,False,False
335,False,False
336,False,False
337,False,False
338,False,False
339,False,False
340,False,False
341,False,False
342,False,False
343,False,False
344,False,False
345,False,False
346,False,False
347,False,False
348,False,False
349,False,False
350,False,False
351,False,False
352,False,False
353,False,False
354,False,False
355,False,False
356,False,False
357,False,False
358,False,False
359,False,False
360,False,False
361,False,False
362,False,False
363,False,False
364,False,False
365,False,False
366,True,False
367,False,False
368,False,False
369,False,False
370,False,False
371,False,False
372,False,False
373,False,False
374,True,False
375,False,False
376,False,False
377,False,False
378,False,False
379,False,False
380,False,False
381,False,False
382,False,False
383,False,False
384,False,False
385,False,False
386,False,False
387,False,False
388,False,False
389,True,False
390,False,False
391,False,False
392,False,False
393,False,False
394,False,False
395,False,False
396,False,False
397,False,False
398,False,False
399,False,False
400,False,False
401,False,False
402,False,False
403,False,False
404,False,False
405,True,False
406,False,False
407,False,False
408,False,False
409,False,False
410,False,False
411,False,False
412,False,False
413,False,False
414,False,False
415,False,False
416,False,False
417,False,False
418,False,False
419,False,False
420,False,False
421,False,False
422,False,False
423,False,False
424,False,False
425,False,False
426,False,False
427,False,False
428,False,False
429,False,False
430,False,False
431,False,False
432,False,False
433,False,False
434,False,False
435,False,False
